Lastname,Firstname,Gender,Age,City,Province,Country,Your Height,Your Body Weight,Your Shoe Size,How often do you  brush your teeth in a day?,What is the number of times you floss in a week?,How many languages do you speak fluently?,How many musical instruments do you play?,What is the number of years you've been in school?,How much TV do you watch in a day?,How much time do you spend on the internet everyday?,How many apps have you downloaded on your phone?,How much time do you spend on exercising every week?,How many cell phones do you own in a year?,How many game consoles do you own?,How much do you pay for your monthly cellphone bill?,What is your monthly internet bill?,What is your monthly rent?,What is your monthly transportation spending?,How many kids do you have?,Are you vegetarian?,How much money do you spend for lunch?,What's favorite subject in highschool?,How many pets do you currently own?,How many cars do you own?,What kind of phone do you have?,What is your favorite sport?,Coca-Cola or Pepsi?,How many times do you dine at a restaurant every week?
Slovonsky,Ashay,M,28,Chicago,IL,US,171,,8.5,2,0,3,,17,1.67,2.5,,,4,0,73,70,1910,320,1,No,4.4,PhysEd,,,,Soccer,Coca Cola,3
Nguyen,Logan,M,20,Chicago,IL,US,191,81,11,2,0,1,0,14,1.17,3.5,25,110,5,,74,43,1910,320,,,0,PhysEd,0,,Android,Baseball,I Don't Care,0
Steinbach,Brandon,M,20,Chicago,IL,US,176,70,,2,1,1,,,1.67,3,41,,7,,59,82,1910,320,0,Somewhat,3.3,English,0,0,,,,
Gomez,Elea,F,25,Chicago,IL,US,156,66,6.5,2,1,4,0,,1.83,,28,100,3,3,74,51,1910,320,1,Somewhat,13,Math,1,1,,Baseball,,3
Nguyen,Fadil,M,22,Chicago,IL,US,185,78,,2,2,3,,16,1.17,3,8,90,3,,66,71,1910,,0,,,Visual Arts,2,0,,Football,I Don't Care,
Belly,Beau,M,20,Chicago,IL,US,173,87,6.5,,3,1,0,14,,,59,0,3,2,70,63,,,0,No,0,,1,0,Android,Soccer,,
Zamarripa,Amber,F,32,Chicago,IL,US,172,69,8,2,0,,,15,1.5,1.5,33,70,4,1,76,37,1510,180,2,,,English,1,0,Android,Soccer,,
Jiang,David,M,31,Chicago,IL,US,,67,6,2,1,,0,14,1,,39,,6,2,74,60,1350,60,1,No,,PhysEd,0,1,,Soccer,I Don't Care,
Minobe,Sean,M,24,Chicago,IL,US,168,81,8,,0,1,2,,2,2,31,100,2,,35,67,1910,320,0,,0,,0,0,,Football,,
Schaad,Christophe,M,23,Chicago,IL,US,162,96,10,,1,,0,13,2.33,,,0,2,1,69,63,1910,320,0,No,10.6,Geography,1,,,Basketball,Pepsi,3
Padilla-Flores,Tristan,F,21,Chicago,IL,US,163,,10,2,,,,15,,,23,70,,,77,71,1910,320,0,No,0,PhysEd,,0,Android,Football,I Don't Care,1
Cochran,David,M,20,Chicago,IL,US,177,89,,,1,2,1,14,,3.33,25,80,6,1,34,74,1910,320,0,,0,Music,1,,iOS,,,3
Mendoza,Stephanie,F,20,Chicago,IL,US,,71,7.5,2,,,0,14,1.17,2.17,34,50,5,1,,,2840,320,0,,0,Computer Science and Technology,,1,,,I Don't Care,1
Haughton,Cody,M,25,Chicago,IL,US,,89,9,,0,,0,19,,,32,,3,0,71,,1910,320,0,,13.3,Business,,0,iOS,Soccer,Pepsi,4
Prechtl,Michael,M,25,Chicago,IL,US,,100,10,2,0,,,18,1.5,,,0,6,1,,,1960,,0,No,,Biology,0,,Android,Football,Coca Cola,2
Traphagan,Lacie,F,24,Chicago,IL,US,184,71,7,,,1,0,18,,2.17,26,0,6,,55,64,1910,320,0,No,0,Languages,0,0,,Basketball,,2
Gomez,Sarah,F,18,Houston,TX,US,,74,,2,1,,1,,1.5,3,32,0,6,1,,62,1770,360,0,No,0,,,0,,,,0
Clockston,Katelyn,F,30,Houston,TX,US,161,62,,,0,,1,16,1.5,2.83,,0,4,1,70,68,1470,340,1,No,11.8,Math,1,,Android,Basketball,,3
Gardner,Jeniffer,F,26,Houston,TX,US,160,69,8.5,,0,1,,17,,,42,100,4,0,46,62,1770,360,1,No,15.5,Geography,1,,Android,Baseball,,1
Ly,Jothan,M,31,Houston,TX,US,171,,9,2,,,,20,,2.67,,60,1,0,66,,1890,110,,No,10.5,Visual Arts,1,1,Android,Football,,1
Claspell,jalai,F,20,Houston,TX,US,167,47,,2,0,1,,,2.17,2.17,48,90,,,70,70,1770,360,,No,0,,3,0,,Soccer,,3
Guimont,Batamgalan,M,23,Houston,TX,US,175,,,2,0,3,0,12,,3.17,38,,5,2,63,67,1770,360,0,No,11.9,,,1,,Soccer,Coca Cola,0
Ellis,Kiley,F,17,Houston,TX,US,175,,7.5,2,1,3,,,1.83,2.17,47,0,5,0,47,73,1770,,0,No,0,,,0,,Football,Coca Cola,
Woods,Reed,M,24,Houston,TX,US,168,101,,2,0,1,0,17,2.33,2.5,34,0,,1,52,66,1770,360,,No,14.6,PhysEd,0,0,iOS,Basketball,I Don't Care,4
Mark,D'Von,M,25,Houston,TX,US,175,81,12,,0,,0,,1,2.17,41,80,5,1,57,69,1770,360,,No,,,,,iOS,Baseball,I Don't Care,
Nguyen,Joshua,M,23,Houston,TX,US,174,78,8,2,,2,,15,1.67,2.17,27,90,9,0,,,1770,,0,No,0,,0,0,Android,Football,I Don't Care,1
Belly,Brandon,M,25,Houston,TX,US,,71,,2,0,1,0,19,1.33,2.67,15,0,7,0,68,55,1770,360,0,No,,,,1,Android,Basketball,Coca Cola,
Tostanoski,Kenia,F,22,Houston,TX,US,,,7.5,2,0,1,,16,0.83,,,0,3,2,68,81,1770,360,,No,10.8,PhysEd,2,0,,,Coca Cola,
Walls,Brandon,M,25,Houston,TX,US,171,75,7.5,,0,,2,19,,2,44,90,1,1,68,68,2110,,0,No,13.6,Physics,,0,Android,Soccer,,2
Mills,Ashley,F,23,Houston,TX,US,168,71,8,2,,1,,12,,2.33,33,70,5,0,83,59,1770,360,0,,0,,0,0,,Football,I Don't Care,
Nguyen,Ricardo,M,24,Houston,TX,US,170,,7,3,2,,,19,2,,17,90,,0,62,63,1770,360,1,No,13.3,,2,1,Android,Soccer,Pepsi,3
Weaver,Koua,M,20,Houston,TX,US,169,,13.5,2,1,3,,,1.67,2.5,,70,7,0,,,1960,360,,,0,Geography,,,,Football,Coca Cola,1
Banks,Levi,M,20,Houston,TX,US,170,,10,2,1,,,14,2,2.5,35,,4,2,87,,1770,360,,No,0,,2,,Android,Baseball,,2
Turner,Marcus,M,27,Houston,TX,US,172,89,8,,0,4,,19,2,3,21,100,2,0,43,58,1770,360,1,No,14.4,Chemistry,,0,Android,Basketball,,
Chang,Mitchell,M,27,Houston,TX,US,181,81,,2,1,1,,15,1.83,,32,70,5,,68,50,1770,360,0,No,17.4,PhysEd,1,1,,Football,,5
Conrad,Jahaira,F,20,Houston,TX,US,,,8,,0,,0,14,1.5,1.83,23,0,3,1,64,,1810,360,,No,0,,0,0,iOS,,Pepsi,0
Mckinney,Andy,M,23,Houston,TX,US,172,81,10,2,0,,,16,,2.67,28,80,5,,53,67,1770,380,0,No,11.1,Business,0,0,Android,,,1
Blumenberg,Clayton,M,21,Houston,TX,US,,85,8,,0,1,1,15,1.33,2.67,19,0,2,0,,41,1770,360,,No,0,Drama,0,0,,Baseball,I Don't Care,1
Diego-Domingo,Haili,F,18,Houston,TX,US,171,61,6.5,2,0,,0,12,1.83,2.67,,100,,0,56,77,1770,360,0,Somewhat,0,Physics,2,0,Android,Basketball,,1
Roberts,thaniel,M,24,Houston,TX,US,166,83,10,2,0,2,,13,,,42,80,3,0,,55,1800,,1,,,,0,0,iOS,Football,,
Johnson,Jacob,M,19,Houston,TX,US,,84,,2,1,2,,13,,,,130,,,64,52,1770,,0,No,0,Business,0,,,Hockey,Coca Cola,6
Abeyta,William,M,23,Houston,TX,US,169,,8,2,1,1,,16,1.33,,41,110,3,0,74,72,1770,360,,,12,PhysEd,,1,Android,Hockey,,2
Lee,Michael,M,29,Houston,TX,US,173,98,,2,,1,0,19,1,2,,60,4,,80,69,1930,,0,,16.5,,,1,,Basketball,Pepsi,4
Zimmerman,Brenda,F,26,Houston,TX,US,164,52,8.5,2,0,2,1,16,1.83,2.33,,80,,0,63,81,1770,,1,No,12,PhysEd,0,1,Android,Football,Coca Cola,2
Jackson,Elexis,F,26,Houston,TX,US,164,56,8.5,2,,3,0,13,1.33,3.17,16,,4,0,84,66,1770,360,1,No,11.9,Music,,1,Android,Baseball,Pepsi,4
Bia,Jr,M,22,Houston,TX,US,174,69,,2,,2,,16,2.33,,32,70,,0,63,59,1790,,,,,Geography,2,0,,Hockey,Coca Cola,
Gonsoulin,Renita,F,25,Houston,TX,US,171,69,8.5,2,4,1,0,,1.33,2.67,34,90,5,,89,72,1910,360,1,No,9.1,Geography,1,0,,Baseball,Coca Cola,
Pham,Gilberto,M,26,Houston,TX,US,169,89,10,2,0,2,0,16,1.33,3.17,35,0,4,0,82,63,,360,,No,,Computer Science and Technology,1,1,iOS,Basketball,Pepsi,1
Sanchez,Bria,F,24,Houston,TX,US,,70,6.5,,2,,,,1.17,,43,70,1,0,,,1770,360,1,No,15.1,English,0,0,Android,,Coca Cola,2
Sanchez,II,F,22,Houston,TX,US,165,70,8.5,,1,,0,16,1.67,2,,,0,0,80,,1770,360,0,No,13.5,Business,0,1,Android,Football,I Don't Care,3
Starks,Trevor,M,21,Houston,TX,US,179,83,10,2,,,1,,1.67,3.33,42,0,,0,61,67,1770,360,0,No,0,,1,0,,Football,Coca Cola,1
Wood,Rachelle,F,23,Houston,TX,US,173,,7.5,2,1,1,0,18,1.83,,,0,1,1,64,,1770,360,0,,11.1,Music,1,0,,Football,I Don't Care,1
Barron,Tiffany,F,25,Houston,TX,US,174,,6.5,2,1,1,0,,1.5,2.5,46,120,2,1,73,,1770,360,,No,13.9,Drama,0,,Android,,I Don't Care,2
Saenz-Loom,Torryan,F,22,Houston,TX,US,160,67,,3,1,2,0,16,,3.17,,,2,3,57,68,1770,,0,No,,Geography,0,0,iOS,Baseball,I Don't Care,1
Velasquez,Shayla,F,30,Houston,TX,US,161,66,,,0,,1,14,2.33,2.5,35,80,3,0,83,60,1390,190,,No,,,1,,Android,Football,Pepsi,1
Zheng,Christopher,M,26,Houston,TX,US,175,,,2,0,1,0,,1.83,,37,70,,1,73,61,1770,360,,No,14.3,Music,0,0,Android,,Pepsi,2
Leil,Justin,M,22,Houston,TX,US,172,,8.5,2,,1,2,16,1.33,2.33,16,60,7,,85,,,360,0,No,14,History,,,Android,Football,Coca Cola,2
Wall,Elizabeth,F,25,Houston,TX,US,172,76,,,1,1,0,15,1.67,2.5,,120,,,,65,,,0,No,,,1,0,Android,Basketball,I Don't Care,2
Stewart,Austin,M,22,Houston,TX,US,173,67,10.5,2,0,1,,,2.17,3.67,32,70,3,2,78,71,,360,,No,9.6,History,0,0,Android,Basketball,I Don't Care,3
Bernhart,Jalisa,F,23,Houston,TX,US,175,66,6.5,,0,1,0,17,1.5,1.5,41,,5,0,68,67,1860,,0,No,18.7,English,1,,Android,,Pepsi,3
Brown,Logan,M,26,Houston,TX,US,,,,2,0,,,15,1.83,2,,,2,,,95,1770,,0,No,,History,1,0,,Football,Pepsi,3
Mcdowell,Asa,M,25,Houston,TX,US,,71,9,,2,2,0,,2,2.33,30,80,5,0,,60,1770,360,,,,PhysEd,,0,Android,Football,Pepsi,
Mameda,Luis,M,20,Houston,TX,US,171,80,8.5,2,3,,0,14,1.5,2.33,52,60,,0,,63,1770,360,0,No,,Business,0,0,,Hockey,Coca Cola,3
Rodriguez,Ramya,F,21,Houston,TX,US,161,,7,,0,1,0,15,,2.5,55,,7,2,62,69,1770,360,0,No,0,Business,0,0,,Soccer,Coca Cola,
Jackson,Cameron,M,23,Houston,TX,US,176,,9.5,2,0,2,0,,2.67,2.5,47,,5,0,,68,,360,0,No,0,,1,1,,Football,I Don't Care,5
Schmidt,Tiffany,F,22,Houston,TX,US,,59,,2,0,2,0,16,1.33,3.33,40,100,1,0,,76,1870,360,0,,0,History,0,,Android,Basketball,Coca Cola,
Day,Karlos,M,27,Houston,TX,US,183,78,8,,0,2,1,13,1.5,,,0,6,1,,76,1860,360,,No,0,Business,0,1,Android,Football,Pepsi,4
Galvan,Parys,F,20,Houston,TX,US,162,,8.5,2,1,1,0,14,1.5,1.67,34,110,,0,51,56,2410,360,0,No,0,PhysEd,0,,,Soccer,I Don't Care,1
Culhane,Matthew,M,20,Houston,TX,US,177,80,7.5,3,,,0,,2.17,1.17,49,,,0,82,46,1770,360,0,,0,English,3,0,iOS,Basketball,I Don't Care,2
Mcgee,Brandon,M,18,Houston,TX,US,,82,8.5,,0,,1,12,1.5,,49,,,2,50,71,1770,360,0,No,0,,,,,Football,Coca Cola,3
Ding,Marcus,M,25,Houston,TX,US,171,75,7.5,2,1,2,0,16,1.67,2.5,36,100,,,90,89,1770,360,,Somewhat,7.3,Physics,,0,,Football,,1
Tow,Miranda,F,21,Houston,TX,US,172,54,7.5,2,1,,0,,1.17,2.5,33,60,1,0,29,71,1770,,,No,,Visual Arts,2,0,Android,Hockey,,1
Bennett,Kyle,M,24,Houston,TX,US,174,,11,2,0,1,,,1.67,2.5,,70,7,2,,77,1770,,,,6.9,History,,1,Android,Football,I Don't Care,
Whitehead,Asiah,F,22,Houston,TX,US,170,,7,2,0,1,,16,1.83,2.33,30,,3,2,,62,1770,,0,No,0,Computer Science and Technology,1,0,Android,Soccer,I Don't Care,3
Kearns,Jafari,M,23,Houston,TX,US,187,77,7.5,2,0,,1,13,,2.67,34,70,3,0,69,80,1770,360,0,No,,,1,1,Android,Basketball,,3
Dirrim,Jill,F,23,Houston,TX,US,172,68,,,,1,,20,1.67,2.17,30,100,2,1,83,70,1770,360,,No,13.3,,2,0,Android,Football,Pepsi,3
Rangel,Fasika,F,28,Houston,TX,US,164,,,,0,1,0,17,2.17,2.33,43,0,,0,,57,1770,360,0,No,9.2,Drama,0,1,,,,3
Kirby,Gabriela,F,20,Houston,TX,US,168,83,8,2,0,3,1,14,1.83,2.83,39,0,6,,,84,,,,Somewhat,0,Music,,0,Windows,Basketball,I Don't Care,1
Gutierrez,Kiera,F,25,Houston,TX,US,170,61,7.5,3,0,,1,13,1.67,,38,0,,1,61,,,,1,No,9.3,English,2,0,Android,Basketball,I Don't Care,1
Yballa,Ashley,F,24,Houston,TX,US,,64,7.5,2,0,1,0,14,1,2.17,37,40,3,,74,67,,360,1,,0,Languages,1,,iOS,Football,Pepsi,2
Valles,Raegan,F,24,Houston,TX,US,165,76,8.5,,0,1,0,19,1.5,2.17,26,,3,0,60,,1770,,0,,13.1,Computer Science and Technology,,1,,Soccer,Pepsi,3
Tanghal,Armonno,M,23,Houston,TX,US,163,68,,,0,1,0,19,,,,130,4,2,45,70,1770,360,0,No,,Drama,2,0,iOS,Baseball,,2
Swickard,Devion,M,22,Houston,TX,US,,96,11.5,2,,1,1,16,1.83,3.17,41,,5,0,,,1770,360,,No,15.3,,1,1,,,,2
Sedillo,Matui,M,22,Houston,TX,US,,75,7,2,0,1,,16,0.83,,26,80,2,0,54,75,1770,360,,,9.9,,0,0,Android,Basketball,Pepsi,1
Flynn-Starks,Shay,F,26,Houston,TX,US,162,,6.5,2,0,,0,19,1.67,2.17,31,0,3,1,93,62,1770,360,1,No,10.9,History,0,0,,Football,,3
Lambertson,Louie,M,21,Houston,TX,US,178,68,9.5,2,0,1,0,15,1.33,2.33,21,100,3,0,,52,1820,360,0,No,0,Chemistry,0,0,,,Pepsi,2
Dean,Brooke,F,20,Houston,TX,US,,,9,2,,2,0,,,2.83,53,70,,0,48,52,1770,,0,,0,Computer Science and Technology,,0,,,I Don't Care,
Lawler,Tenzin,F,26,Houston,TX,US,167,76,,2,0,1,0,15,1.67,2.33,,100,1,2,53,52,1770,410,0,,15.1,,1,,,Soccer,,5
Lyon,Mairon,M,23,Houston,TX,US,165,,7,2,,1,0,17,2.17,1.83,41,,4,,40,,1770,360,0,,,,1,,,,I Don't Care,
Tinnin,Brandon,M,28,Houston,TX,US,177,,6.5,2,0,,0,14,,1.83,32,80,5,0,,73,1770,360,1,No,13,Physics,0,0,,Baseball,,4
Alcon,Benny,M,26,Houston,TX,US,171,81,10,,1,2,,16,,,12,110,6,0,88,54,1770,360,1,No,,Chemistry,1,0,Android,Football,Coca Cola,4
Nguyen,Amir,M,32,Houston,TX,US,,60,,2,0,2,,17,,2.17,31,,,,77,76,1550,90,2,,11.4,Geography,3,,Android,,I Don't Care,3
Kirby,Tyler,M,26,Houston,TX,US,187,95,8.5,,,,0,,,2.5,29,0,5,0,73,,1770,360,0,,14.5,Music,1,,,Soccer,Coca Cola,2
Gibson,Kyle,M,30,Houston,TX,US,,77,,2,0,1,,18,1.83,3,,40,5,0,83,,1000,120,1,,8.4,Physics,0,,Android,Hockey,I Don't Care,
Medi,Tiffany,F,22,Houston,TX,US,,61,7.5,,,2,0,,,2,37,70,,0,68,86,1770,360,0,No,9.6,Math,1,,,Basketball,Pepsi,3
Diaz,Hsi,F,23,Houston,TX,US,172,,8.5,2,,,0,17,2.33,3.33,36,,4,0,69,91,1770,360,0,No,0,History,,0,,,I Don't Care,8
Lor,Rhett,M,22,Houston,TX,US,175,62,9,2,0,1,1,16,1.83,2.67,31,,8,2,,68,,,0,No,0,Physics,0,,Android,,Pepsi,
Wold,Annie,F,27,Houston,TX,US,164,64,7,2,0,1,1,,1.83,,35,,4,1,77,67,1770,,1,No,11.5,Visual Arts,1,0,,,Pepsi,
Martinez,Joshua,M,31,Houston,TX,US,178,93,9,2,0,1,0,19,1.83,2.67,41,80,3,,53,76,1380,230,1,No,15.4,PhysEd,0,1,Android,Soccer,Coca Cola,
Stewart,Cody,M,23,Houston,TX,US,178,65,8,2,0,1,,,2.17,2.83,,0,8,3,52,,1770,360,0,,11.9,English,1,,Android,Football,I Don't Care,2
Chavez,Kristen,F,28,Houston,TX,US,168,67,,,,1,2,20,1.67,1.33,,90,,,49,60,1770,360,1,No,14.4,,,1,iOS,Football,I Don't Care,
Amaya,Carrise,F,19,Houston,TX,US,,,8.5,,0,2,0,,2.17,2,45,0,5,1,,50,1770,,,No,0,PhysEd,2,,,Soccer,Coca Cola,1
Bat-Itgel,Dylan,M,27,Houston,TX,US,179,66,9.5,2,0,1,0,14,1.33,1.67,,100,,2,51,71,1770,,1,,8,Languages,0,0,iOS,Football,I Don't Care,0
Laniel,Tabatha,F,24,Houston,TX,US,170,81,7,2,,,0,13,0.83,2.17,,0,,2,62,,1770,360,1,,0,Drama,1,,,Football,,1
Walker,Jr,F,24,Houston,TX,US,,,8.5,2,0,,,,2.17,,,,2,,73,69,1770,,1,,12,Computer Science and Technology,1,1,,,I Don't Care,0
Fang,De'Angelo,M,25,Houston,TX,US,,86,8,,0,1,0,,2,2.5,30,80,4,0,45,61,1770,360,0,No,13,Biology,0,0,,,Coca Cola,3
Coleman,Elizabeth,F,26,Houston,TX,US,164,64,,2,1,,0,,1.83,2.83,38,,2,0,54,,1770,,1,No,13.4,History,0,1,,Basketball,Pepsi,
Zong-Liscum,Cameron,M,20,Houston,TX,US,,108,,,1,1,0,14,2.33,2.17,45,110,5,0,83,71,1770,360,0,No,0,Biology,,0,,Soccer,Pepsi,3
Ellis,Alexander,M,20,Houston,TX,US,177,83,,2,0,1,0,,1.33,2,25,,4,,64,60,1770,360,0,No,0,Physics,1,0,Android,Football,Coca Cola,1
Peiffer,Oscar,M,27,Houston,TX,US,178,53,,3,2,1,0,17,1.5,2,32,0,3,0,56,59,1770,360,1,No,16.6,,0,,,Football,,1
Heyliger,Makenzie,F,27,Houston,TX,US,172,,5.5,2,0,1,0,19,1.5,,,70,,2,,66,1800,360,,,17,English,0,0,,Soccer,Pepsi,
Taylor,Slavi,F,24,Houston,TX,US,165,72,8,2,1,2,,15,2.33,2.67,41,60,3,1,,64,,360,0,No,0,Geography,1,1,,,,4
Lam,Tresean,M,26,Houston,TX,US,176,71,,2,,1,0,18,1.67,,37,,,1,,64,1770,360,0,No,14.9,Music,0,,Android,Basketball,I Don't Care,2
Valliere,Jessa,F,29,Houston,TX,US,,59,8,,1,,0,17,,2.83,32,90,,,43,73,1630,150,,No,9.5,,1,1,iOS,Football,Coca Cola,2
Ho,Luis,M,19,Houston,TX,US,,,10,2,,2,1,,,3.33,47,70,,0,57,67,1770,,0,,,Business,3,0,Android,Basketball,Pepsi,3
Duggin,Jessica,F,23,Houston,TX,US,159,75,6.5,2,1,1,0,18,1,2,28,0,,0,,,1770,360,,,11.8,Visual Arts,1,,Android,,,0
Weast,Katie,F,26,Houston,TX,US,160,66,7,2,1,3,0,,,1.83,,,7,1,67,61,1770,360,,No,9.2,Computer Science and Technology,0,1,,Soccer,Coca Cola,2
Miller,Dia,F,22,Houston,TX,US,162,68,7,2,0,1,0,16,,3,36,90,5,,79,63,1770,360,0,No,,PhysEd,1,0,Android,,I Don't Care,2
Carrion-Kozak,Ashlee,F,30,Houston,TX,US,169,73,8.5,,1,2,1,14,,,33,100,3,1,75,75,1330,120,,No,12.8,English,1,0,Android,Soccer,Coca Cola,
Powell,Abigail,F,29,Houston,TX,US,162,63,,2,,3,1,14,0.83,3,,0,3,1,,63,1230,150,1,No,,Business,0,0,Android,Football,,1
Weiss,Danny,M,31,Houston,TX,US,173,,11.5,2,0,3,1,14,1.67,1.83,26,120,6,1,65,75,,160,,Somewhat,12.6,Biology,3,,Android,,I Don't Care,4
Lindsey,Jacob,M,18,Houston,TX,US,168,90,8.5,2,2,3,1,12,2,,,0,2,1,64,85,1770,360,0,No,0,,,0,Android,,Pepsi,3
Tourgee,Audrey,F,25,Houston,TX,US,163,,8,2,0,,2,16,2.17,2.67,42,,,0,56,70,1780,360,1,No,,Physics,2,,,Basketball,Coca Cola,1
Leclaire,Brice,M,26,Houston,TX,US,173,,9,2,1,2,0,,,1.5,25,,5,0,,46,2010,360,1,No,,,0,0,,,I Don't Care,
Gjestvang,Liz,F,19,Houston,TX,US,166,75,7,2,,1,1,13,,1.67,29,110,8,1,37,61,,360,0,No,0,Physics,0,0,,Football,I Don't Care,2
Beaver,Vinson,M,20,Houston,TX,US,173,,,2,0,,0,14,1.83,3.17,33,70,7,1,67,,1770,,,No,0,Biology,0,0,Android,Baseball,Coca Cola,0
Deherrera,Linh,F,19,Houston,TX,US,166,65,7.5,,,2,1,13,1.5,2.67,,110,2,0,88,69,1770,,0,No,0,Chemistry,,1,Android,Hockey,,3
Rodriguez,lani,F,31,Houston,TX,US,165,70,7.5,2,0,1,2,17,1.83,2.33,33,0,3,,78,57,910,100,1,No,,Business,1,1,Android,Soccer,Pepsi,2
Sung,Angelo,M,27,Houston,TX,US,165,76,6.5,2,3,1,0,16,2,,46,90,9,0,77,62,1770,360,,No,17.8,Computer Science and Technology,0,0,Android,Football,Pepsi,3
Gonzalez,Julie,F,24,Houston,TX,US,171,64,8,,,,0,15,2.33,,,,,,67,69,1770,,0,Somewhat,,,0,0,iOS,Football,,1
Fuller,Daniel,M,24,Houston,TX,US,,,10.5,2,0,1,0,12,1.5,,,0,3,,85,65,1770,,,No,14.3,Computer Science and Technology,,0,,Soccer,,
Kasper,Dante,M,25,Houston,TX,US,172,75,11,,0,2,,14,1.5,3,,0,8,,63,56,1770,360,,No,16.9,History,1,0,iOS,Football,Coca Cola,
Smith,Taylor,F,23,Houston,TX,US,169,72,4,2,3,1,1,,1.67,1.5,28,70,4,0,77,58,1770,360,0,,13.9,Music,0,0,,Football,I Don't Care,3
Turner,De,M,21,Houston,TX,US,181,76,,3,0,2,0,15,1.67,2.5,32,50,,2,43,69,1770,360,0,No,0,Chemistry,1,,iOS,Basketball,,
Fisher,Michael,M,21,Houston,TX,US,167,70,7,2,1,1,,15,2,2.33,29,80,5,,,,1770,360,0,,0,,1,0,,Basketball,Pepsi,3
Vanlandingham,Precelia,F,25,Houston,TX,US,169,70,5.5,2,1,2,,17,,2.33,,,5,,80,69,1770,360,1,No,12.7,History,,0,Android,Hockey,,2
Sanchez,Holly,F,27,Houston,TX,US,166,,,,,1,0,15,1.17,,35,50,3,0,56,,,360,1,No,0,Math,,,Android,Baseball,,3
Arvizu,Mone,F,17,Houston,TX,US,,60,8,2,,1,,,1.67,2,20,0,3,0,74,81,,,0,No,0,History,,0,,Football,I Don't Care,0
Osmanovic,Elijah,M,27,Houston,TX,US,162,80,8.5,2,2,1,,14,1.5,2.5,,0,2,2,,53,1770,,,,10.1,Business,0,,Android,Baseball,Coca Cola,2
Jarvis,Angeli,F,25,Houston,TX,US,164,59,,2,0,1,,,1.67,,41,90,3,1,81,78,1920,360,,,8.6,,2,1,Android,,Coca Cola,3
Sky,Kevin,M,24,Houston,TX,US,168,75,12,2,0,2,,,,2.67,,0,3,0,68,66,1770,360,,No,,Biology,,0,,Baseball,I Don't Care,3
Belly,Tam,M,28,Houston,TX,US,179,,,2,0,1,0,12,1.5,2.17,,70,2,2,47,63,1770,360,1,No,,,2,,Android,Basketball,Pepsi,1
Flores,Rivera,F,25,Houston,TX,US,174,,,2,1,2,0,16,2,,53,110,3,1,80,,1770,,1,No,,Music,,,,Basketball,Pepsi,0
Gallegos,Mark,M,23,Houston,TX,US,,90,11.5,,,,0,,,2.5,,70,4,0,,86,1770,360,0,,12.8,Drama,,1,Android,Baseball,I Don't Care,2
Perea,Brittani,F,23,Houston,TX,US,168,75,7.5,2,0,,1,16,1.83,3.17,,,7,1,,63,1770,360,,No,,Drama,0,0,iOS,Hockey,Pepsi,2
Pedro,Stephanie,F,19,Houston,TX,US,165,82,6,2,0,1,,,,2.5,58,,,0,51,82,,360,0,,,Biology,,0,Android,Football,I Don't Care,
Gonzalez,Yea,F,19,Houston,TX,US,170,80,7,2,0,,,13,,2.17,30,60,,,58,64,1770,360,0,No,0,Drama,0,0,,Basketball,,
Castillo,Macie,F,23,Houston,TX,US,177,58,,,,1,1,12,1.33,2.33,,40,6,1,82,70,1770,,0,No,0,,,0,,Basketball,I Don't Care,
Newman,Jacob,M,25,Houston,TX,US,179,70,10.5,2,1,1,0,16,2,3.17,23,70,3,2,70,65,,360,1,No,10.4,PhysEd,3,0,Android,Basketball,,
Flores,Ramirez,F,28,Houston,TX,US,167,,8.5,,0,,1,,1.83,2.83,33,80,2,0,59,84,1770,,,,,,0,1,Android,Basketball,I Don't Care,3
Huynh,Gesman,M,25,Houston,TX,US,,61,10,2,,2,0,17,,2.67,,0,3,0,53,68,,360,1,,,,,1,,,I Don't Care,3
Carruthers,Jacob,M,25,Houston,TX,US,177,64,9.5,2,0,1,1,18,2,2.33,22,70,,1,57,,1770,,1,No,11.3,,0,,Android,Football,,2
Brown,Toni,F,27,Houston,TX,US,,64,7,,,1,,15,0.67,2.83,,70,,1,66,56,,,,Somewhat,0,PhysEd,,0,iOS,,I Don't Care,
Mckay,Troy,M,23,Houston,TX,US,170,69,7.5,,0,,1,,0.83,,,100,,,76,,,360,0,,0,,,0,Windows,Hockey,I Don't Care,4
Flores,So,F,28,Houston,TX,US,169,81,7.5,,,1,,14,,3.5,41,0,,,82,68,,,0,No,14.8,Biology,0,0,iOS,Baseball,Coca Cola,1
Landeros-Rocha,Jesslyn,F,24,Houston,TX,US,165,,,2,,2,1,17,1.5,2.5,12,,3,0,,65,1770,360,0,No,8.7,,1,1,iOS,,,3
Smith,Seva,F,25,Houston,TX,US,,,7,2,2,1,,20,1.5,2.83,47,100,5,0,53,54,,360,0,No,12.2,Languages,,1,,,,1
Masingale,Phillip,M,24,Houston,TX,US,165,,10,2,,1,,16,2.33,2.5,32,,,,71,,1770,360,,No,13.1,Biology,0,1,,Football,I Don't Care,
Mitsuhashi,Alexander,M,29,Houston,TX,US,180,69,9.5,2,0,,0,16,2,3,14,80,,0,120,,,190,0,No,0,Business,,1,Android,Hockey,I Don't Care,2
Bayarmagi,Cartrell,M,26,Houston,TX,US,,81,,3,0,2,0,,1.5,,36,,3,,60,77,,360,,No,13.6,Music,0,0,Android,Football,Pepsi,1
